tipo,material,producto,unidad,largo_cm,ancho_cm,alto_cm,orientacion,fuente_dimension,lineas,cantidad_total,peso_kg_total,volumen_m3_total,palets_total
barril,CB30,CARLSBERG BARRIL 30,BRL,40.8,40.8,36.5,horizontal,ZM040 dimensiones directas,2,4.0,171.152,0.12,0.6666666666666666
barril,DL30,DAMM LEMON BARRIL 30,BRL,40.8,40.8,36.5,horizontal,ZM040 dimensiones directas,134,149.0,6421.155,4.47,24.833333333333332
barril,ED30,ESTRELLA DAMM BARRIL 30,BRL,40.8,40.8,36.5,horizontal,ZM040 dimensiones directas,1948,4366.0,186812.408,130.98,727.6666666666666
barril,RA30,RADEBERGER BARRIL 30,BRL,40.8,40.8,36.5,horizontal,ZM040 dimensiones directas,3,3.0,128.151,0.09,0.5
barril,SG30,SUREO SANGRIA BARRIL 30L.,BRL,40.8,40.8,36.5,horizontal,ZM040 dimensiones directas,5,5.0,215.21999999999997,0.15,0.8333333333333333
barril,TL30,SUREO TINTO LIMON BARRIL 30L.,BRL,40.8,40.8,36.5,horizontal,ZM040 dimensiones directas,1,1.0,42.594,0.03,0.16666666666666666
barril,TU30,TURIA BARRIL 30L.,BRL,40.8,40.8,36.5,horizontal,ZM040 dimensiones directas,172,235.0,10055.179999999998,7.05,39.166666666666664
barril,VO30,VOLL-DAMM BARRIL 30,BRL,40.8,40.8,36.5,horizontal,ZM040 dimensiones directas,34,45.0,1931.58,1.3499999999999999,7.5
barril,0AG0336,FONT D.OR BIBEX NATURAL 1/2 SR 24U,CAJ,0.0,0.0,0.0,sin directa,sin dimensiones,2,2.0,0.0,0.0,0.0
barril,0VE0099,BANDEIRA OPORTO BAG IN BOX 3L,UN,0.0,0.0,0.0,sin directa,sin dimensiones,2,3.0,0.0,0.009000000000000001,0.0075
barril,BRL20V,BARRIL INOX 20L. TANQUETA A16,BRL,0.0,0.0,0.0,sin directa,sin dimensiones,920,1163.0,0.0,0.0,0.0
barril,BRL30V,BARRIL INOX 30L. EURONORMA,BRL,0.0,0.0,0.0,sin directa,sin dimensiones,2462,6140.0,0.0,0.0,0.0
barril,BO20,BOCK DAMM BARRIL 20L.,BRL,23.7,23.7,56.0,vertical,ZM040 dimensiones directas,5,5.0,136.995,0.1,0.3333333333333333
barril,CM20,COMPLOT BARRIL 20L.,BRL,23.7,23.7,56.0,vertical,ZM040 dimensiones directas,8,8.0,218.632,0.16,0.5333333333333333
barril,DL20,DAMM LEMON BARRIL 20L.,BRL,23.7,23.7,56.0,vertical,ZM040 dimensiones directas,218,264.0,7285.344,5.28,17.6
barril,GBD20,GRIMBERGEN DOUBLE AMBREE BARRIL 20L. RET,BRL,23.7,23.7,56.0,vertical,ZM040 dimensiones directas,4,4.0,109.928,0.08,0.26666666666666666
barril,ID20,INEDIT DAMM BARRIL 20L,BRL,23.7,23.7,56.0,vertical,ZM040 dimensiones directas,34,42.0,1147.818,0.84,2.8
barril,TU20,TURIA BARRIL 20L.,BRL,23.7,23.7,56.0,vertical,ZM040 dimensiones directas,534,685.0,18763.52,13.700000000000001,45.666666666666664
barril,VO20,VOLL DAMM BARRIL 20L.,BRL,23.7,23.7,56.0,vertical,ZM040 dimensiones directas,69,92.0,2528.344,1.84,6.133333333333334
caja,0AG0003,FONT D.OR NATURAL 1L RET 12U,CAJ,40.0,30.0,35.0,horizontal,ZM040 dimensiones directas,49,455.0,9100.0,5.46,14.21875
caja,0AG0004,FONT D.OR NATURAL 1/2 PET 24U,CAJ,39.0,26.0,23.0,horizontal,ZM040 dimensiones directas,177,684.0,8892.0,8.208,10.857142857142856
caja,0AG0005,FONT D.OR NATURAL 1/2 RET 20U,CAJ,43.0,36.0,29.0,horizontal,ZM040 dimensiones directas,38,169.0,3633.5,1.69,4.225
caja,0AG0006,FONT D.OR NATURAL 1/3 PET 35U,CAJ,40.0,29.0,19.0,horizontal,ZM040 dimensiones directas,29,204.0,2590.8,2.38068,3.1875
caja,0AG0007,"FONT D.OR NATURAL 1,5L PET 12U",CAJ,36.0,27.0,33.0,horizontal,ZM040 dimensiones directas,176,2262.0,42978.0,40.716,56.55
caja,0AG0009,VICHY CATALAN GAS 1L SR 12U,CAJ,36.0,27.0,32.0,horizontal,ZM040 dimensiones directas,15,15.0,330.0,0.18,0.33333333333333337
caja,0AG0010,VICHY CATALAN GAS 1L RET 12U,CAJ,40.0,30.0,35.0,horizontal,ZM040 dimensiones directas,72,460.0,10120.0,5.5200000000000005,14.375
caja,0AG0011,VICHY CATALAN GAS 1/2 RET 20U,CAJ,43.0,36.0,29.0,horizontal,ZM040 dimensiones directas,212,415.0,8092.5,4.15,10.375
caja,0AG0019,FONT D.OR MAXIMUM NATURAL 1/2 RET 20U,CAJ,43.0,36.0,29.0,horizontal,ZM040 dimensiones directas,74,312.0,6708.0,3.12,7.8
caja,0AG0021,FONT D.OR MAXIMUM NATURAL 1L RET 12U,CAJ,40.0,30.0,35.0,horizontal,ZM040 dimensiones directas,57,456.0,9120.0,5.472,14.25
caja,0AG0022,VICHY 1881 GAS 1/3 RET 20U,CAJ,20.0,20.0,20.0,horizontal,ZM040 dimensiones directas,3,7.0,35.0,0.0462,0.14583333333333334
caja,0AG0039,"FONT D.OR NATURAL 1,5L PET 6U",CAJ,36.0,27.0,33.0,horizontal,ZM040 dimensiones directas,125,1957.0,37183.0,17.613,21.27173913043478
caja,0AG0052,VICHY CATALAN GAS 1/2 PET 24U,CAJ,36.0,23.0,24.0,horizontal,ZM040 dimensiones directas,58,89.0,1068.0,1.068,1.6481481481481481
caja,0AG0078,VICHY CATALAN FRUIT NARANJA 1/2 PET 24U,CAJ,45.0,31.0,23.0,horizontal,ZM040 dimensiones directas,4,4.0,0.0,0.048,0.04
caja,0AG0079,VICHY CATALAN FRUIT LIMON 1/2 PET 24U,CAJ,45.0,31.0,23.0,horizontal,ZM040 dimensiones directas,3,4.0,0.0,0.048,0.04
caja,0AG0080,VICHY CATALAN FRUIT MANZANA 1/2 PET 24U,CAJ,45.0,31.0,23.0,horizontal,ZM040 dimensiones directas,3,3.0,0.0,0.036000000000000004,0.03
caja,0AG0081,"VICHY CATALAN FRUIT NARANJA 1,2L PET 6U",CAJ,45.0,31.0,23.0,horizontal,ZM040 dimensiones directas,6,8.0,0.0,0.06336,0.08080808080808081
caja,0AG0082,"VICHY CATALAN FRUIT LIMON 1,2L PET 6U",CAJ,45.0,31.0,23.0,horizontal,ZM040 dimensiones directas,6,9.0,66.96000000000001,0.07128,0.09090909090909091
caja,0AG0085,SAN PELLEGRINO GAS 1/2 PET 24U,CAJ,39.0,26.0,24.0,horizontal,ZM040 dimensiones directas,2,3.0,36.0,0.036000000000000004,0.047619047619047616
caja,0AG0092,MALAVELLA AGUA CON GAS 30CL RET 24U,CAJ,40.0,30.0,25.0,horizontal,ZM040 dimensiones directas,11,28.0,378.0,0.22176,0.5833333333333333
caja,0AG0125,VICHY FRUIT PIÑA-COCO 1/2 PET 24U,CAJ,45.0,31.0,23.0,horizontal,ZM040 dimensiones directas,1,1.0,12.71,0.012,0.01
caja,0AG0181,FONT D.OR NATURAL 30CL RET 24U,CAJ,40.0,30.0,22.0,horizontal,ZM040 dimensiones directas,4,51.0,0.0,0.3672,1.0625
caja,0AG0183,VICHY CATALAN GAS 30CL RET 24U,CAJ,50.0,40.0,25.0,horizontal,ZM040 dimensiones directas,768,959.0,13521.9,6.9048,19.979166666666664
caja,0AG0243,MALAVELLA GAS 1/2 RET 20U,CAJ,40.0,30.0,28.0,horizontal,ZM040 dimensiones directas,2,2.0,43.0,0.02,0.05
caja,0AM0004,CHOVI ACEITE OLIVA VIRG EXT SOB 1CL 250,CAJ,22.5,16.0,17.5,horizontal,ZM040 dimensiones directas,16,16.0,41.92,0.001008,0.125
caja,0AM0005,SAL GARCIA SAL GRUESA ESP PESCADO 2K,CAJ,39.0,26.0,22.0,horizontal,ZM040 dimensiones directas,3,23.0,443.21,0.005129,0.4181818181818182
